dominant_dictionary_topic,ticker,quarter,total_mentions,avg_sentiment,sum_sentiment,quarter_total_mentions,mention_percentage,weighted_sentiment
financial_risk,SLB,2023Q3,4,0.5,2,137,0.02919708,0.058394161
financial_risk,SLB,2023Q4,2,0,0,130,0.015384615,0
financial_risk,SLB,2024Q1,2,0,0,128,0.015625,0
financial_risk,SLB,2024Q2,3,1,3,102,0.029411765,0.088235294
financial_risk,SLB,2024Q3,1,-1,-1,163,0.006134969,-0.006134969
financial_risk,STR,2010Q3,1,0,0,92,0.010869565,0
financial_risk,STR,2013Q1,1,-1,-1,68,0.014705882,-0.014705882
financial_risk,STR,2013Q3,1,0,0,55,0.018181818,0
financial_risk,STR,2014Q1,1,1,1,29,0.034482759,0.034482759
financial_risk,STR,2014Q3,1,0,0,39,0.025641026,0
financial_risk,STR,2014Q4,2,-0.5,-1,81,0.024691358,-0.024691358
financial_risk,STR,2015Q1,1,0,0,73,0.01369863,0
financial_risk,STR,2015Q2,1,0,0,59,0.016949153,0
financial_risk,STR,2016Q1,2,0,0,88,0.022727273,0
financial_risk,STR,2018Q2,1,0,0,130,0.007692308,0
financial_risk,STR,2018Q4,1,0,0,143,0.006993007,0
financial_risk,STR,2019Q2,1,0,0,154,0.006493506,0
financial_risk,STR,2019Q3,1,1,1,157,0.006369427,0.006369427
financial_risk,STR,2020Q1,2,-0.5,-1,213,0.009389671,-0.009389671
financial_risk,STR,2020Q2,2,0,0,190,0.010526316,0
financial_risk,STR,2020Q3,3,0,0,144,0.020833333,0
financial_risk,STR,2020Q4,4,-0.25,-1,180,0.022222222,-0.022222222
financial_risk,STR,2021Q1,6,0,0,215,0.027906977,0
financial_risk,STR,2021Q3,2,0,0,216,0.009259259,0
financial_risk,STR,2021Q4,1,0,0,164,0.006097561,0
financial_risk,STR,2022Q2,1,0,0,131,0.007633588,0
financial_risk,STR,2022Q3,1,0,0,103,0.009708738,0
financial_risk,STR,2022Q4,1,2,2,153,0.006535948,0.013071895
financial_risk,STR,2023Q2,3,0,0,212,0.014150943,0
financial_risk,STR,2023Q3,4,-0.25,-1,137,0.02919708,-0.02919708
financial_risk,STR,2024Q1,1,-1,-1,128,0.0078125,-0.0078125
financial_risk,STR,2024Q3,1,0,0,163,0.006134969,0
financial_risk,STR,2024Q4,1,1,1,146,0.006849315,0.006849315
financial_risk,TTI,2002Q1,1,0,0,32,0.03125,0
financial_risk,TTI,2008Q4,1,-2,-2,18,0.055555556,-0.111111111
financial_risk,TTI,2009Q4,2,0,0,32,0.0625,0
financial_risk,TTI,2010Q1,1,1,1,25,0.04,0.04
financial_risk,TTI,2010Q4,1,0,0,41,0.024390244,0
financial_risk,TTI,2017Q1,1,0,0,73,0.01369863,0
financial_risk,TTI,2019Q3,1,-1,-1,157,0.006369427,-0.006369427
financial_risk,TTI,2020Q1,1,0,0,213,0.004694836,0
financial_risk,TTI,2023Q1,1,0,0,151,0.006622517,0
financial_risk,TTI,2023Q2,1,-1,-1,212,0.004716981,-0.004716981
financial_risk,TTI,2024Q4,1,0,0,146,0.006849315,0
financial_risk,TUSK,2024Q4,2,0,0,146,0.01369863,0
financial_risk,USEG,2024Q3,3,0.666666667,2,163,0.018404908,0.036809816
financial_risk,VEI,2021Q3,1,1,1,216,0.00462963,0.00462963
financial_risk,VOC,2017Q2,1,1,1,98,0.010204082,0.010204082
financial_risk,VOC,2022Q4,1,1,1,153,0.006535948,0.006535948
financial_risk,VTLE,2024Q3,1,0,0,163,0.006134969,0
financial_risk,VTS,2015Q4,1,0,0,74,0.013513514,0
financial_risk,VTS,2018Q2,2,-1,-2,130,0.015384615,-0.030769231
financial_risk,VTS,2021Q1,3,0,0,215,0.013953488,0
financial_risk,VTS,2022Q2,1,0,0,131,0.007633588,0
financial_risk,VTS,2022Q4,1,0,0,153,0.006535948,0
financial_risk,VTS,2023Q1,1,0,0,151,0.006622517,0
